iteration,reward_mean,length_mean,games,loss
102000,-1.0,2.0,8,9.541361123410752e-07
102500,-0.88,2.12,8,4.046137291879859e-06
103000,-0.89,2.11,9,4.418433945829747e-06
103500,-1.0,2.0,8,1.881702246464556e-06
104000,-1.0,2.0,10,7.110740511961922e-07
104500,-1.0,2.0,9,4.5490542106563225e-06
105000,-1.0,2.0,10,9.84291091299383e-07
105500,-1.0,2.0,10,4.821896254725289e-06
106000,-1.0,2.0,8,2.4703842427697964e-05
106500,-0.9,2.1,10,1.2008928933937568e-05
107000,-1.0,2.0,12,2.705236056499416e-06
107500,-1.0,2.0,11,8.126748070935719e-06
108000,-1.0,2.0,9,3.489149094093591e-07
108500,-0.91,2.09,11,4.7346236442535883e-07
109000,-0.89,2.11,9,1.1381150670786155e-06
109500,-1.0,2.0,8,1.3750868674833328e-06
110000,-1.0,2.0,9,1.166294396170997e-06
110500,-1.0,2.0,8,1.0011638096329989e-07
111000,-0.9,2.1,10,1.6200468735405593e-06
111500,-0.89,2.11,9,4.4486505430541e-06
112000,-1.0,2.0,12,1.532930400571786e-05
112500,-1.0,2.0,8,1.1689433449646458e-05
113000,-1.0,2.0,8,3.94351945942617e-06
113500,-1.0,2.0,8,4.080481176060857e-06
114000,-1.0,2.0,9,5.136771505931392e-06
114500,-1.0,2.0,9,1.899972062346933e-06
115000,-1.0,2.0,8,2.2672208999097165e-08
115500,-1.0,2.0,8,1.0647296448951238e-06
116000,-0.9,2.1,10,5.691759952242137e-07
116500,-1.0,2.0,10,1.2894294059151434e-06
117000,-1.0,2.0,10,1.7945918671102845e-06
117500,-1.0,2.0,8,3.0665116810268955e-06
118000,-1.0,2.0,8,1.2462507470445416e-07
118500,-1.0,2.0,9,2.6162392714468297e-06
119000,-1.0,2.0,8,6.684898608000367e-07
119500,-1.0,2.0,10,2.9686450488952687e-06
120000,-0.88,2.12,8,1.5063661749081803e-06
120500,-0.89,2.11,9,4.915956651529996e-06
121000,-0.91,2.09,11,4.201354386168532e-06
121500,-1.0,2.0,8,2.134153419319773e-06
122000,-1.0,2.0,8,2.4115033738780767e-06
122500,-1.0,2.0,8,1.3430886838250444e-06
123000,-1.0,2.0,9,1.3237346365713165e-06
123500,-1.0,2.0,9,1.2497390571297728e-06
124000,-1.0,2.0,10,2.1754740373580717e-06
124500,-1.0,2.0,8,9.868985216598958e-06
125000,-1.0,2.0,8,1.7072374021154246e-06
125500,-1.0,2.0,9,1.5337888044086867e-06
126000,-0.89,2.11,9,1.4087592717260122e-05
126500,-1.0,2.0,9,5.107962351758033e-05
127000,-1.0,2.0,9,2.5338087652926333e-05
127500,-1.0,2.0,10,8.092841744655743e-05
128000,-1.0,2.0,8,0.0002559441199991852
128500,-1.0,2.0,8,0.00015706283738836646
129000,-1.0,2.0,8,0.00047540245577692986
129500,-1.0,2.0,9,0.00045441242400556803
130000,-1.0,2.0,9,0.0014735345030203462
130500,-1.0,2.0,11,0.0014471804024651647
131000,-1.0,2.0,9,0.0009476979612372816
131500,-1.0,2.0,8,0.0005723080248571932
132000,-0.9,2.1,10,0.00021313932666089386
132500,-1.0,2.0,8,6.324575952021405e-05
133000,-1.0,2.0,9,4.10766597269685e-06
133500,-1.0,2.0,10,1.663055286371673e-06
134000,-1.0,2.0,10,9.503273759037256e-07
134500,-0.88,2.12,8,2.3607547916526528e-08
135000,-1.0,2.0,9,2.2259941943048034e-06
135500,-1.0,2.0,8,8.333829100592993e-06
136000,-1.0,2.0,9,3.586371167330071e-05
136500,-1.0,2.0,8,7.337521878980624e-07
137000,-1.0,2.0,12,4.137449650443159e-06
137500,-1.0,2.0,8,2.4274099814647343e-06
138000,-1.0,2.0,8,1.3226399175891856e-07
138500,-1.0,2.0,9,7.607815405208385e-06
139000,-1.0,2.0,8,1.6595606666669482e-06
139500,-1.0,2.0,10,8.758395324548474e-07
140000,-1.0,2.0,8,1.777252236934146e-06
140500,-0.88,2.12,8,9.905088518280536e-07
141000,-1.0,2.0,11,1.3475137166096829e-05
141500,-1.0,2.0,8,9.581451013218611e-05
142000,-1.0,2.0,9,2.62019767660604e-07
142500,-0.88,2.12,8,3.714323156600585e-06
143000,-0.9,2.1,10,1.8446469766786322e-05
143500,-1.0,2.0,8,1.4478009688900784e-06
144000,-1.0,2.0,10,2.0668646811827784e-06
144500,-1.0,2.0,11,9.339176358480472e-06
145000,-1.0,2.0,9,1.4550128071277868e-05
145500,-1.0,2.0,10,2.649039515745244e-06
146000,-1.0,2.0,11,5.33277352587902e-06
146500,-0.78,2.22,9,2.3464426703867503e-06
147000,-1.0,2.0,8,4.1586081351852044e-06
147500,-1.0,2.0,8,5.885928203497315e-06
148000,-1.0,2.0,10,7.779373731864325e-07
148500,-1.0,2.0,10,2.699461560951022e-07
149000,-1.0,2.0,8,5.1041793085460085e-06
149500,-1.0,2.0,8,2.226874312327709e-05
150000,-1.0,2.0,8,2.5180015654768795e-06
150500,-0.88,2.12,8,1.0384806046204176e-05
151000,-1.0,2.0,9,8.212399734475184e-06
151500,-1.0,2.0,8,0.00011324213119223714
152000,-1.0,2.0,9,0.00021941358863841742
152500,-1.0,2.0,10,0.00028953998116776347
153000,-1.0,2.0,8,0.0007360951858572662
153500,-0.88,2.12,8,0.0005718286847695708
154000,-1.0,2.0,8,0.0009680439252406359
154500,-1.0,2.0,8,0.0010834203567355871
155000,-1.0,2.0,10,0.001220672158524394
155500,-1.0,2.0,10,0.0007241728017106652
156000,-0.91,2.09,11,0.0009269766160286963
156500,-0.89,2.11,9,0.0006673442549072206
157000,-0.89,2.11,9,0.0005550436326302588
157500,-1.0,2.0,9,0.00031977120670489967
158000,-0.9,2.1,10,0.00041321240132674575
158500,-1.0,2.0,8,0.000655253475997597
159000,-0.88,2.12,8,0.00041003472870215774
159500,-1.0,2.0,8,0.0005678242305293679
160000,-1.0,2.0,9,0.0006025024922564626
160500,-1.0,2.0,8,0.0007501272484660149
161000,-1.0,2.0,8,0.00045464918366633356
161500,-1.0,2.0,9,0.00022433316917158663
162000,-1.0,2.0,8,0.00011787684343289584
162500,-1.0,2.0,8,0.0001228138862643391
163000,-1.0,2.0,8,1.8247250409331173e-05
163500,-1.0,2.0,9,5.6005002988968045e-05
164000,-1.0,2.0,8,1.0742092854343355e-05
164500,-1.0,2.0,8,3.5115008358843625e-05
165000,-1.0,2.0,9,7.254085357999429e-05
165500,-1.0,2.0,8,0.00021443783771246672
166000,-1.0,2.0,12,0.00041005853563547134
166500,-1.0,2.0,9,0.0003606227692216635
167000,-1.0,2.0,8,0.0005439146771095693
167500,-1.0,2.0,9,0.0008009353769011796
168000,-1.0,2.0,8,0.00026530149625614285
168500,-1.0,2.0,9,0.00011610856745392084
169000,-1.0,2.0,8,4.951104347128421e-05
169500,-1.0,2.0,9,2.0500207028817385e-05
170000,-1.0,2.0,8,2.440907155687455e-05
170500,-1.0,2.0,9,7.139158697100356e-05
